FeeScheduleId,TierLevel,StartDate,EndDate,AssetSizeMinimum,AssetSizeMaximum,PercentAnnualFee,FixedAnnualFee
1,1,1/1/2016,,0,5000000,0,13500
1,1,1/1/2016,,5000000,10000000,0.0027,0
1,2,1/1/2016,,10000000,25000000,0.0012,0
1,3,1/1/2016,,25000000,50000000,0.0008,0
1,4,1/1/2016,,50000000,75000000,0.0004,0
1,5,1/1/2016,,75000000,100000000,0.0003,0
1,6,1/1/2016,,100000000,0,0,0
1,1,1/9/2006,3/31/2016,0,5000000,0,13500
1,1,1/9/2006,3/31/2016,5000000,10000000,0.0027,0
1,2,1/9/2006,3/31/2016,10000000,25000000,0.0012,0
1,3,1/9/2006,3/31/2016,25000000,50000000,0.0008,0
1,4,1/9/2006,3/31/2016,50000000,75000000,0.0004,0
1,5,1/9/2006,3/31/2016,75000000,100000000,0.0003,0
1,6,1/9/2006,3/31/2016,100000000,0,0.0002,0
2,1,3/16/2015,,0,5000000,0,8500
2,1,3/16/2015,,5000000,10000000,0.0017,0
2,2,3/16/2015,,10000000,25000000,0.0007,0
2,3,3/16/2015,,25000000,50000000,0.0004,0
2,4,3/16/2015,,50000000,60000000,0.0003,0
2,5,3/16/2015,,60000000,0,0,0
2,1,2/4/2013,3/31/2016,0,5000000,0,8500
2,1,2/4/2013,3/31/2016,5000000,10000000,0.0017,0
2,2,2/4/2013,3/31/2016,10000000,25000000,0.0007,0
2,3,2/4/2013,3/31/2016,25000000,50000000,0.0004,0
2,4,2/4/2013,3/31/2016,50000000,75000000,0.0003,0
2,5,2/4/2013,3/31/2016,75000000,100000000,0.0002,0
2,6,2/4/2013,3/31/2016,100000000,0,0.0002,0
2,1,1/9/2006,3/31/2016,0,5000000,0,8500
2,1,1/9/2006,3/31/2016,5000000,10000000,0.0017,0
2,2,1/9/2006,3/31/2016,10000000,25000000,0.0007,0
2,3,1/9/2006,3/31/2016,25000000,50000000,0.0004,0
2,4,1/9/2006,3/31/2016,50000000,75000000,0.0003,0
2,5,1/9/2006,3/31/2016,75000000,100000000,0.0002,0
2,6,1/9/2006,3/31/2016,100000000,0,0.0001,0
7,1,5/6/2015,,0,5000000,0,8500
7,1,5/6/2015,,5000000,10000000,0.0017,0
7,2,5/6/2015,,10000000,25000000,0.0007,0
7,3,5/6/2015,,25000000,50000000,0.0004,0
7,4,5/6/2015,,50000000,60000000,0.0003,0
7,5,5/6/2015,,60000000,0,0,0
7,1,2/4/2013,3/31/2016,0,5000000,0,8500
7,1,2/4/2013,3/31/2016,5000000,10000000,0.0017,0
7,2,2/4/2013,3/31/2016,10000000,25000000,0.0007,0
7,3,2/4/2013,3/31/2016,25000000,50000000,0.0004,0
7,4,2/4/2013,3/31/2016,50000000,75000000,0.0003,0
7,5,2/4/2013,3/31/2016,75000000,100000000,0.0002,0
7,6,2/4/2013,3/31/2016,100000000,0,0.0002,0
7,1,1/9/2006,3/31/2016,0,5000000,0,8500
7,1,1/9/2006,3/31/2016,5000000,10000000,0.0017,0
7,2,1/9/2006,3/31/2016,10000000,25000000,0.0007,0
7,3,1/9/2006,3/31/2016,25000000,50000000,0.0004,0
7,4,1/9/2006,3/31/2016,50000000,75000000,0.0003,0
7,5,1/9/2006,3/31/2016,75000000,100000000,0.0002,0
7,6,1/9/2006,3/31/2016,100000000,0,0.0001,0
3,1,1/9/2006,,0,0,0,3850
4,1,1/9/2006,,0,0,0,8900
5,1,1/9/2006,,0,10000000,0,11000
5,2,1/9/2006,,10000000,25000000,0,13750
5,3,1/9/2006,,25000000,50000000,0,21500
5,4,1/9/2006,,50000000,75000000,0,23000
5,5,1/9/2006,,75000000,100000000,0,31000
5,6,1/9/2006,,100000000,0,0,36000
6,1,1/9/2006,,0,500000,0,6500
6,2,1/9/2006,,500000,1000000,0.006,0
6,3,1/9/2006,,1000000,1500000,0.005,0
6,4,1/9/2006,,1500000,2000000,0.004,0
6,5,1/9/2006,,2000000,2500000,0.004,0
6,6,1/9/2006,,2500000,3000000,0.003,0
6,7,1/9/2006,,3000000,4000000,0.0015,0
6,8,1/9/2006,,4000000,0,0.0005,0
